Address,YearBuilt,TotalLivingArea,FirstFloor,SecondFloor,ThirdFloor,Basement,FinishedBasement,LotSize
5834 Lien Rd,2019,1608,808,800,0,800,0,2868.0
5838 Lien Rd,2019,1608,800,808,0,800,0,2821.0
5840 Lien Rd,2019,1608,800,808,0,800,0,2772.0
5844 Lien Rd,2019,1608,808,800,0,800,0,2725.0
5846 Lien Rd,2019,1608,808,800,0,800,0,2677.0
5850 Lien Rd,2019,1608,800,808,0,800,0,3133.0
5852 Lien Rd,2019,1608,800,808,0,800,0,3085.0
5856 Lien Rd,2019,1608,808,800,0,800,0,3037.0
5858 Lien Rd,2019,1608,808,800,0,800,0,2989.0
5862 Lien Rd,2019,1608,800,808,0,800,0,2941.0
5864 Lien Rd,2019,1608,800,808,0,800,0,2893.0
5868 Lien Rd,2020,1620,808,812,0,492,297,2843.0
5870 Lien Rd,2020,1620,808,812,0,492,297,2783.0
5874 Lien Rd,2020,1620,800,820,0,492,297,2722.0
5876 Lien Rd,2020,1620,800,820,0,492,297,2661.0
5880 Lien Rd,2020,1620,808,812,0,492,320,2880.0
5882 Lien Rd,2020,1620,808,812,0,492,297,2820.0
5886 Lien Rd,2020,1620,800,820,0,492,0,2758.0
5888 Lien Rd,2020,1620,800,820,0,492,0,2698.0
5926 Carter Moon Pass,2019,1466,1466,0,0,1466,0,6345.0
5930 Carter Moon Pass,2019,1519,777,742,0,777,0,5900.0
5934 Carter Moon Pass,2019,1809,911,898,0,911,0,8766.0
5938 Carter Moon Pass,2019,1883,985,898,0,978,0,6106.0
5942 Carter Moon Pass,2019,1638,828,810,0,828,0,5310.0
5946 Carter Moon Pass,2019,1847,1847,0,0,1847,0,7638.0
6002 Stoney Oak Ln,2020,1482,1482,0,0,1482,0,6099.0
6006 Stoney Oak Ln,2020,1547,1547,0,0,1547,0,6232.0
6007 Stoney Oak Ln,2020,1503,763,740,0,763,0,5959.0
6008 Lyda Woods Ln,2020,1519,780,739,0,780,318,5959.0
6009 Lyda Woods Ln,2020,1580,1580,0,0,1580,0,5965.0
601 Tawny Elm Pkwy,2019,1880,978,902,0,978,0,7163.0
6010 Stoney Oak Ln,2020,1502,763,739,0,763,0,6826.0
6012 Lyda Woods Ln,2020,2116,1114,1002,0,1114,668,5959.0
6013 Lyda Woods Ln,2020,1584,1584,0,0,1584,0,5965.0
6014 Stoney Oak Ln,2020,1650,838,812,0,828,0,7419.0
6015 Stoney Oak Ln,2020,2084,1082,1002,0,1082,0,5959.0
6016 Lyda Woods Ln,2020,1848,964,884,0,964,329,5959.0
6017 Lyda Woods Ln,2020,1848,964,884,0,964,0,5965.0
602 Jagged Pine Dr,2019,1848,964,884,0,964,0,7519.0
602 Old Timber Pass,2020,1720,1720,0,0,1720,0,7999.0
602 Schewe Rd,2019,1815,917,898,0,911,0,7089.0
6021 Lyda Woods Ln,2020,1555,789,766,0,789,0,5965.0
6024 Aries Way,2019,1841,1841,0,0,1841,0,7797.0
603 Jagged Pine Dr,2019,1764,1764,0,0,1764,691,7747.0
603 Morningside Ave,2019,1085,632,453,0,632,489,16113.0
603 Rustic Rise Way,2020,1848,964,884,0,964,0,7843.0
6039 Ragan St,2020,2116,1108,1008,0,1108,0,9583.0
604 Burnt Sienna Dr,2020,2045,2045,0,0,2045,0,10122.0
604 Rustic Rise Way,2020,2535,1349,1186,0,1349,0,12019.0
605 Sugar Maple Ln,2019,2080,1092,988,0,1092,655,6455.0
606 Jagged Pine Dr,2019,2056,1068,988,0,1068,422,6544.0
606 Old Timber Pass,2020,2034,2034,0,0,2034,0,6143.0
606 Schewe Rd,2019,1848,964,884,0,964,0,6728.0
607 Jagged Pine Dr,2019,2836,1605,1231,0,1605,0,6811.0
610 Jagged Pine Dr,2019,2438,1180,1258,0,1180,0,6802.0
610 Old Timber Pass,2020,1866,1866,0,0,1866,0,6143.0
610 Schewe Rd,2019,2088,1086,1002,0,1082,0,8309.0
6101 Driscoll Dr,2019,1708,1708,0,0,1708,0,5147.0
6103 Ragan St,2019,1763,1763,0,0,1752,0,6051.0
6104 Ragan St,2020,1648,838,810,0,838,0,5523.0
6105 Driscoll Dr,2019,1806,908,898,0,902,0,4275.0
6107 Kilpatrick Ln,2019,3047,1623,1424,0,1623,0,10515.0
6107 Ragan St,2020,1813,908,905,0,902,0,4220.0
6108 Ragan St,2019,1806,908,898,0,90,0,4265.0
6108 Saturn Dr,2019,1780,1038,742,0,1038,0,5048.0
6109 Driscoll Dr,2019,1542,788,754,0,788,0,4275.0
611 Jagged Pine Dr,2019,2567,1391,1176,0,1391,589,6811.0
6111 Ragan St,2020,1542,788,754,0,788,0,3515.0
6111 Saturn Dr,2019,1556,1556,0,0,1556,915,6667.0
6112 Ragan St,2020,1628,828,800,0,828,0,3515.0
6112 Saturn Dr,2019,1848,964,884,0,964,0,5015.0
6113 Driscoll Dr,2019,1648,838,810,0,822,0,3515.0
6114 Misty Bridge Rd,2020,1627,827,800,0,821,0,4275.0
6115 Ragan St,2019,1734,932,802,0,932,0,3515.0
6115 Saturn Dr,2019,1519,777,742,0,777,0,6667.0
6116 Ragan St,2020,1510,772,738,0,772,0,3515.0
6116 Saturn Dr,2019,1648,838,810,0,838,0,5015.0
6117 Driscoll Dr,2019,1510,782,728,0,772,0,3515.0
6119 Ragan St,2020,1638,838,800,0,822,390,3515.0
6119 Saturn Dr,2019,1482,1482,0,0,1482,0,6667.0
612 Burnt Sienna Dr,2020,2149,2149,0,0,2149,0,8750.0
6120 Ragan St,2020,1532,788,744,0,788,0,3515.0
6120 Saturn Dr,2019,1501,762,739,0,762,0,5031.0
6121 Driscoll Dr,2019,1522,788,734,0,788,0,3515.0
6123 Ragan St,2020,1546,795,751,0,795,0,3515.0
6124 Ragan St,2020,1525,765,760,0,765,0,3515.0
6125 Driscoll Dr,2019,1648,838,810,0,822,0,3515.0
6127 Ragan St,2020,1526,782,744,0,782,0,3515.0
6128 Ragan St,2020,1787,932,855,0,932,576,3515.0
6129 Driscoll Dr,2019,1464,756,708,0,746,0,3515.0
613 Silent Wind Rd,2019,2434,1169,1265,0,1169,0,7854.0
6131 Ragan St,2020,1520,782,738,0,782,0,3515.0
6132 Ragan St,2020,1541,797,744,0,778,549,3515.0
6133 Driscoll Dr,2019,1500,772,728,0,772,0,4275.0
6135 Ragan St,2020,1612,842,770,0,842,0,3515.0
6136 Ragan St,2020,1653,1653,0,0,1653,0,4275.0
6137 Driscoll Dr,2019,1648,838,810,0,828,0,3515.0
6139 Ragan St,2020,1510,772,738,0,772,310,3515.0
614 Old Timber Pass,2020,1664,1664,0,0,1664,0,6480.0
6140 Ragan St,2020,1526,785,741,0,785,0,3515.0
6141 Driscoll Dr,2019,1836,932,904,0,852,0,3515.0
6145 Driscoll Dr,2019,1540,796,744,0,788,502,3516.0
6147 Ragan St,2020,1617,846,771,0,846,0,3713.0
6149 Driscoll Dr,2019,1520,782,738,0,772,0,3543.0
615 Jagged Pine Dr,2019,2438,1256,1182,0,1256,0,7791.0
6153 Driscoll Dr,2019,1806,908,898,0,902,0,4416.0
6157 Driscoll Dr,2019,1532,788,744,0,788,0,4769.0
616 Silent Wind Rd,2019,1814,918,896,0,918,0,6885.0
6161 Driscoll Dr,2019,1656,1656,0,0,1656,0,4801.0
6165 Driscoll Dr,2019,1664,1664,0,0,1656,0,6398.0
6167 Ragan St,2020,1504,1504,0,0,1504,0,5022.0
617 Silent Wind Rd,2019,1524,1524,0,0,1524,0,6608.0
618 Old Timber Pass,2020,1720,1720,0,0,1720,0,6480.0
619 Stone Arbor Trl,2020,1552,798,754,0,798,0,4174.0
620 Burnt Sienna Dr,2020,2245,1151,1094,0,1151,0,8750.0
620 Silent Wind Rd,2019,1650,828,822,0,828,0,8910.0
6201 White Stag Pkwy,2019,2963,1578,1385,0,1578,0,9402.0
6205 White Stag Pkwy,2019,2262,1131,1131,0,1131,0,11492.0
6207 Driscoll Dr,2019,1841,1841,0,0,1841,0,6715.0
6207 Oasis Trl,2019,3248,1364,1884,0,1364,0,8080.0
6208 Oasis Trl,2019,2288,1144,1144,0,1144,0,14783.0
6209 White Stag Pkwy,2020,2240,1120,1120,0,1120,0,13500.0
621 Burnt Sienna Dr,2020,1735,866,869,0,866,537,8719.0
621 Silent Wind Rd,2019,2464,1198,1266,0,1198,0,7392.0
6211 Oasis Trl,2019,1789,1789,0,0,1789,0,7783.0
6214 Oasis Trl,2019,2460,1120,1340,0,1120,0,8864.0
6215 Oasis Trl,2019,2358,1188,1170,0,1188,0,7800.0
622 Old Timber Pass,2020,1866,1866,0,0,1866,632,6143.0
623 Stone Arbor Trl,2020,1510,772,738,0,772,0,4553.0
625 Burnt Sienna Dr,2019,2497,1196,1301,0,1196,0,9436.0
626 Old Timber Pass,2020,1640,1640,0,0,1640,0,6143.0
627 Old Timber Pass,2019,1717,1717,0,0,1713,0,5621.0
629 Burnt Sienna Dr,2020,2051,2051,0,0,2051,0,10174.0
629 Old Timber Pass,2019,1705,1705,0,0,1701,0,3903.0
630 Old Timber Pass,2020,1640,1640,0,0,1640,0,6480.0
633 Burnt Sienna Dr,2020,2397,1576,821,0,1576,0,11167.0
634 Old Timber Pass,2020,1720,1720,0,0,1720,0,6480.0
638 Old Timber Pass,2020,1866,1866,0,0,1866,728,6143.0
645 Old Timber Pass,2020,2008,1246,762,0,1246,0,3314.0
647 Old Timber Pass,2020,2008,1246,762,0,1246,0,3269.0
649 Burnt Sienna Dr,2020,1694,1694,0,0,1694,0,10301.0
650 Old Timber Pass,2020,1864,1864,0,0,1864,0,6143.0
654 Old Timber Pass,2020,1720,1720,0,0,1720,168,7106.0
702 Crimson Leaf Ln,2019,2416,1158,1258,0,1158,0,6510.0
703 Gingergrass Way,2019,1811,905,906,0,888,0,6779.0
703 Old Timber Pass,2020,1628,828,800,0,822,0,4782.0
704 Crimson Leaf Ln,2019,1645,833,812,0,828,0,5900.0
704 Gingergrass Way,2019,2454,1188,1266,0,1188,0,6500.0
707 Old Timber Pass,2020,1787,932,855,0,932,0,4590.0
708 Crimson Leaf Ln,2019,2056,1068,988,0,1068,868,5900.0
708 Gingergrass Way,2019,2213,1133,1080,0,1124,0,6500.0
709 Crimson Leaf Ln,2020,2045,1006,1039,0,1006,0,6500.0
711 Old Timber Pass,2020,1806,908,898,0,902,0,4590.0
712 Crimson Leaf Ln,2019,1572,1572,0,0,1572,0,5900.0
712 Old Timber Pass,2020,2446,1188,1258,0,1188,0,10743.0
713 Crimson Leaf Ln,2019,1879,981,898,0,978,0,6500.0
715 Old Timber Pass,2020,1520,782,738,0,782,0,4590.0
716 Crimson Leaf Ln,2019,1555,763,792,0,763,653,5900.0
716 Old Timber Pass,2020,1949,1949,0,0,1949,0,8632.0
717 Crimson Leaf Ln,2019,1554,1554,0,0,1554,0,6500.0
719 Old Timber Pass,2019,2062,1077,985,0,1067,0,4590.0
720 Crimson Leaf Ln,2019,1876,978,898,0,978,0,5903.0
720 Gingergrass Way,2019,2480,1222,1258,0,1222,0,6500.0
721 Crimson Leaf Ln,2019,1482,1482,0,0,1482,0,6500.0
722 Old Timber Pass,2020,1824,1824,0,0,1824,0,7503.0
723 Old Timber Pass,2020,1638,838,800,0,822,418,3773.0
724 Crimson Leaf Ln,2019,1511,773,738,0,763,0,5968.0
725 Crimson Leaf Ln,2019,2481,1296,1185,0,1296,0,6500.0
726 Old Timber Pass,2020,1974,1974,0,0,1974,1304,6883.0
727 Gingergrass Way,2019,2088,1086,1002,0,1082,0,7452.0
727 Old Timber Pass,2020,1958,1246,712,0,1246,0,3773.0
728 Crimson Leaf Ln,2019,1592,808,784,0,808,0,5231.0
729 Crimson Leaf Ln,2019,1991,1991,0,0,1991,0,6500.0
731 Old Timber Pass,2020,1787,932,855,0,932,0,3886.0
732 Crimson Leaf Ln,2019,2575,1289,1286,0,1289,0,6510.0
732 Old Timber Pass,2020,1876,978,898,0,978,0,7315.0
735 Old Timber Pass,2020,1648,838,810,0,832,0,4275.0
736 Old Timber Pass,2020,2088,1086,1002,0,1082,0,7547.0
739 Old Timber Pass,2019,1537,788,749,0,788,0,4275.0
743 Old Timber Pass,2019,1628,828,800,0,822,0,5749.0
802 Feather Sound Dr,2020,1883,985,898,0,536,360,7800.0
802 Silas St,2020,2244,1122,1122,0,1122,0,8725.0
805 Feather Sound Dr,2020,1694,1694,0,0,1694,0,5209.0
808 Feather Sound Dr,2020,1841,1841,0,0,1841,1108,7800.0
809 Feather Sound Dr,2020,1532,788,744,0,788,0,3891.0
810 Silas St,2020,1996,1148,848,0,1138,0,7695.0
811 Silas St,2020,1780,862,918,0,862,0,3515.0
813 Feather Sound Dr,2020,1510,772,738,0,772,0,3891.0
814 Feather Sound Dr,2020,1580,1580,0,0,1580,0,7800.0
815 Silas St,2020,1672,907,765,0,907,204,3515.0
816 Royster Oaks Dr,2019,1176,1176,0,0,1176,700,3524.0
816 Silas St,2019,1588,1588,0,0,1588,1237,7697.0
817 Feather Sound Dr,2020,1542,788,754,0,788,454,3891.0
820 Feather Sound Dr,2020,2052,1006,1046,0,1006,0,7800.0
821 Feather Sound Dr,2020,1806,908,898,0,902,389,4732.0
822 Silas St,2020,1593,783,810,0,783,0,7698.0
822 West Shore Dr,2019,1900,990,910,0,910,723,5195.0
823 Silas St,2020,1224,1224,0,0,1224,550,3515.0
825 Feather Sound Dr,2020,1541,797,744,0,788,0,3987.0
826 Feather Sound Dr,2020,2084,1082,1002,0,1082,0,7788.0
828 Royster Oaks Dr,2020,1847,897,950,0,885,0,3528.0
829 Feather Sound Dr,2020,1520,782,738,0,782,458,3981.0
831 Royster Oaks Dr,2019,1705,1705,0,0,1705,0,6470.0
832 Feather Sound Dr,2020,1881,978,903,0,978,0,7055.0
833 Feather Sound Dr,2020,1787,932,855,0,932,519,4193.0
834 Silas St,2020,1958,1007,951,0,1007,0,7701.0
835 Silas St,2020,1224,1224,0,0,1224,930,3515.0
837 Feather Sound Dr,2020,1787,932,855,0,932,0,6653.0
840 Silas St,2019,1968,1968,0,0,1968,1812,7755.0
843 Sugar Maple Ln,2020,2045,1006,1039,0,1006,0,9148.0
847 Sugar Maple Ln,2020,1974,1974,0,0,1974,0,13493.0
848 Sugar Maple Ln,2020,1660,838,822,0,838,0,6092.0
849 Royster Oaks Dr,2020,1726,732,994,0,732,0,5730.0
851 Sugar Maple Ln,2020,2598,1422,1176,0,1422,0,9580.0
852 Sugar Maple Ln,2019,1815,917,898,0,911,514,6939.0
8525 Prairie Hill Rd,2019,2929,1666,1263,0,1045,549,38680.0
855 Sugar Maple Ln,2019,2045,1006,1039,0,1006,0,7860.0
859 Sugar Maple Ln,2020,2400,1208,1192,0,1208,0,7910.0
863 Sugar Maple Ln,2019,2213,1133,1080,0,1124,0,11494.0
867 Sugar Maple Ln,2020,2084,1082,1002,0,1082,0,6060.0
868 Sugar Maple Ln,2020,1606,770,836,0,770,0,5812.0
871 Sugar Maple Ln,2019,2498,1312,1186,0,1312,0,7817.0
872 Sugar Maple Ln,2019,1876,978,898,0,978,696,6759.0
876 Sugar Maple Ln,2019,1650,828,822,0,828,0,6152.0
904 Cherry Bark Rd,2020,2069,1030,1039,0,1030,0,8095.0
904 Sugar Maple Ln,2019,1502,763,739,0,763,0,5900.0
908 Sugar Maple Ln,2020,1584,1584,0,0,1584,898,5900.0
911 Sugar Maple Ln,2020,1881,978,903,0,978,0,6000.0
912 Cherry Bark Rd,2020,2413,1231,1182,0,1231,543,6500.0
912 Sugar Maple Ln,2020,2056,1068,988,0,1068,480,6762.0
915 Sugar Maple Ln,2019,1582,798,784,0,790,0,6528.0
916 Cherry Bark Rd,2020,2045,1006,1039,0,1006,544,6500.0
916 Sugar Maple Ln,2019,1749,1749,0,0,1745,0,6841.0
919 Sugar Maple Ln,2019,1519,777,742,0,777,0,7285.0
920 Cherry Bark Rd,2020,2400,1208,1192,0,1208,733,6500.0
920 Sugar Maple Ln,2019,1572,1572,0,0,1572,0,6841.0
923 Sugar Maple Ln,2020,2088,1086,1002,0,1086,0,6849.0
927 Sugar Maple Ln,2020,1511,773,738,0,773,0,6942.0
928 Sugar Maple Ln,2019,1412,1412,0,0,1412,0,5900.0
931 Sugar Maple Ln,2020,1876,978,898,0,978,0,7441.0
9314 Cobalt St,2020,2261,2261,0,0,2261,1153,8770.0
9314 Highland Gate Way,2020,1520,782,738,0,782,0,3515.0
9319 Watts Rd,2020,1806,908,898,0,902,0,5527.0
932 Sugar Maple Ln,2020,1416,1416,0,0,1416,0,6106.0
9323 Watts Rd,2020,1532,788,744,0,788,0,4563.0
9326 Highland Gate Way,2020,1510,772,738,0,772,0,3515.0
9327 Highland Gate Way,2020,1628,800,828,0,794,0,3700.0
9328 Watts Rd,2020,2043,1055,988,0,1055,0,5643.0
9330 Highland Gate Way,2020,1526,782,744,0,782,0,3515.0
9331 Watts Rd,2020,1806,908,898,0,902,0,5427.0
9334 Highland Gate Way,2020,1541,797,744,0,788,0,3515.0
9335 Highland Gate Way,2020,1708,1708,0,0,1708,0,4500.0
9335 Watts Rd,2020,1787,932,855,0,932,0,4471.0
9336 Watts Rd,2019,1638,838,800,0,822,0,5150.0
9338 Highland Gate Way,2020,1787,932,855,0,932,0,4018.0
9339 Highland Gate Way,2019,1520,782,738,0,772,0,3700.0
9339 Watts Rd,2019,1511,772,739,0,772,0,4950.0
9340 Watts Rd,2020,1526,782,744,0,782,0,5099.0
9341 Honey Elm Ln,2019,1713,1713,0,0,1709,915,4817.0
9343 Highland Gate Way,2020,1511,772,739,0,772,0,3700.0
9343 Watts Rd,2020,1628,828,800,0,822,0,4070.0
9344 Watts Rd,2020,1806,908,898,0,902,0,5098.0
9345 Honey Elm Ln,2019,1537,788,749,0,788,0,3515.0
9347 Highland Gate Way,2019,1656,1656,0,0,1656,0,4500.0
9347 Watts Rd,2019,1542,793,749,0,788,0,4950.0
9348 Sleepy Pond Way,2020,1656,1656,0,0,1656,1070,4275.0
9348 Watts Rd,2020,1542,788,754,0,788,0,5098.0
9349 Honey Elm Ln,2020,1504,1504,0,0,1504,0,4275.0
935 Sugar Maple Ln,2019,1660,838,822,0,838,0,7635.0
9351 Highland Gate Way,2020,2057,1055,1002,0,1055,0,3700.0
9351 Watts Rd,2020,1787,932,855,0,932,0,4950.0
9352 Sleepy Pond Way,2020,1667,845,822,0,821,336,4275.0
9352 Watts Rd,2019,1806,908,898,0,902,0,5098.0
9353 Honey Elm Ln,2020,1813,908,905,0,902,0,4275.0
9355 Highland Gate Way,2019,1924,966,958,0,966,0,4500.0
9355 Watts Rd,2020,1813,908,905,0,902,0,4950.0
9356 Sleepy Pond Way,2020,2057,1062,995,0,1062,324,4702.0
9356 Watts Rd,2020,1532,788,744,0,788,0,5098.0
9357 Honey Elm Ln,2019,1656,1656,0,0,1656,0,4817.0
9359 Highland Gate Way,2020,1836,908,928,0,908,0,4500.0
9359 Watts Rd,2019,1787,932,855,0,932,0,5366.0
9363 Highland Gate Way,2020,1716,1716,0,0,1716,0,5552.0
9373 Harvest Moon Ln,2020,1836,982,854,0,982,0,5668.0
9375 Harvest Moon Ln,2019,1526,782,744,0,772,0,3991.0
9377 Harvest Moon Ln,2020,1542,788,754,0,788,0,3703.0
9379 Harvest Moon Ln,2019,1511,772,739,0,772,0,4411.0
9381 Harvest Moon Ln,2020,1532,788,744,0,788,0,3626.0
9383 Harvest Moon Ln,2020,1673,873,800,0,867,0,5169.0
939 Sugar Maple Ln,2019,1848,964,884,0,964,0,11270.0
9401 Ashworth Dr,2019,2488,2488,0,0,2488,1044,15695.0
9404 Ashworth Dr,2020,2230,2230,0,0,2230,918,11583.0
9413 Ashworth Dr,2019,3974,2162,1812,0,2162,1266,15366.0
9424 Wilrich St,2020,2152,1116,1036,0,1108,0,9049.0
9425 Cobalt St,2020,2427,1211,1216,0,1211,0,8301.0
945 E Dayton St,2020,1536,768,768,0,768,0,4365.0
9510 Wild Prairie Trl,2019,1773,1773,0,0,1773,0,13200.0
9521 Wild Prairie Trl,2019,1980,960,1020,0,960,0,9608.0
9525 Wild Prairie Trl,2019,2257,1189,1068,0,1189,588,9608.0
9532 Lost Pine Trl,2019,2287,2287,0,0,2287,192,9434.0
9562 Dregers Way,2020,2320,2320,0,0,2320,784,8394.0
9605 Sandhill Rd,2019,2236,2236,0,0,2236,1664,11812.0
9618 Grey Kestrel Dr,2020,2319,1149,1170,0,1149,773,7370.0
9629 Grey Kestrel Dr,2020,1897,1897,0,0,1897,550,7976.0
9633 Winter Basil Dr,2020,1580,1580,0,0,1572,0,7080.0
9634 Winter Basil Dr,2020,1848,964,884,0,964,0,6484.0
9637 Shadow Ridge Trl,2019,2539,1439,1100,0,1439,1056,12840.0
9637 Winter Basil Dr,2020,1580,1580,0,0,1572,0,8040.0
9652 Tawny Acorn Dr,2020,2421,1245,1176,0,1245,543,11069.0
9703 Winter Basil Dr,2020,1572,1572,0,0,1572,0,8040.0
9704 Tawny Acorn Dr,2020,2211,2211,0,0,2211,958,13094.0
9704 Winter Basil Dr,2020,1815,917,898,0,911,0,7298.0
9707 Winter Basil Dr,2020,1482,1482,0,0,1482,0,7924.0
9708 Sweet Autumn Dr,2019,1864,964,900,0,964,0,5900.0
9708 Tawny Acorn Dr,2020,2777,1385,1392,0,1385,0,12367.0
9711 Gilded Cider Blvd,2019,2124,1122,1002,0,1118,0,5900.0
9711 Winter Basil Dr,2020,1880,978,902,0,978,0,9325.0
9712 Tawny Acorn Dr,2020,2400,1208,1192,0,1208,0,12800.0
9713 Ashworth Dr,2019,1933,1933,0,0,1933,838,9000.0
9713 Sweet Autumn Dr,2019,1879,981,898,0,978,375,7000.0
9715 Winter Basil Dr,2020,1848,964,884,0,964,0,13011.0
9716 Sweet Autumn Dr,2019,1572,1572,0,0,1572,0,5900.0
9716 Tawny Acorn Dr,2020,2919,1614,1305,0,1601,437,12800.0
9717 Sweet Autumn Dr,2019,1967,1967,0,0,1967,0,7000.0
9717 Tawny Acorn Dr,2020,2503,1317,1186,0,1317,0,9139.0
9719 Gilded Cider Blvd,2019,2056,1068,988,0,1068,0,5900.0
9719 Winter Basil Dr,2020,2446,1188,1258,0,1188,0,11252.0
9720 Tawny Acorn Dr,2020,2780,1390,1390,0,1390,0,12800.0
9720 Winter Basil Dr,2020,2045,1006,1039,0,1006,539,7744.0
9721 Tawny Acorn Dr,2019,2782,1391,1391,0,1391,507,7338.0
9723 Gilded Cider Blvd,2019,1503,763,740,0,763,0,5900.0
9723 Tiercel Dr,2020,1722,1722,0,0,1722,485,8752.0
9723 Winter Basil Dr,2020,1502,763,739,0,763,0,6815.0
9724 Sweet Autumn Dr,2019,1502,763,739,0,763,0,5900.0
9724 Tawny Acorn Dr,2020,2790,1392,1398,0,1392,0,16643.0
9724 Tiercel Dr,2020,1640,1640,0,0,1640,936,7360.0
9724 Winter Basil Dr,2020,1511,773,738,0,773,0,5900.0
9725 Sweet Autumn Dr,2019,2284,1164,1120,0,1164,0,7100.0
9725 Tawny Acorn Dr,2020,2212,1128,1084,0,1128,0,7762.0
9727 Gilded Cider Blvd,2019,1645,833,812,0,828,0,5900.0
9727 Winter Basil Dr,2020,1883,985,898,0,978,0,5919.0
9728 Tawny Acorn Dr,2020,3459,1743,1716,0,1743,0,12806.0
9728 Winter Basil Dr,2020,1572,1572,0,0,1572,648,5900.0
9729 Tawny Acorn Dr,2019,1555,763,792,0,763,0,6353.0
9730 Ashworth Dr,2019,1610,1610,0,0,1610,423,12348.0
9731 Tiercel Dr,2019,2149,2149,0,0,2149,0,8601.0
9731 Winter Basil Dr,2020,1660,838,822,0,1660,0,5900.0
9732 Winter Basil Dr,2020,1482,1482,0,0,1482,0,5900.0
9733 Ashworth Dr,2019,1819,1819,0,0,1819,952,12048.0
9735 Winter Basil Dr,2020,2056,1068,988,0,1068,0,5900.0
9738 Winter Basil Dr,2020,1583,806,777,0,806,0,5910.0
9739 Winter Basil Dr,2020,2084,1082,1002,0,1082,0,5900.0
9743 Watts Rd,2019,1480,746,734,0,740,0,3181.0
9743 Winter Basil Dr,2019,1519,777,742,0,777,0,6719.0
9745 Watts Rd,2019,1480,746,734,0,740,0,3181.0
9801 Tiercel Dr,2019,2670,1248,1422,0,1248,0,8915.0
9804 Sunny Spring Dr,2019,2092,1086,1006,0,1082,0,6952.0
9808 Sunny Spring Dr,2019,1692,1692,0,0,1692,380,6500.0
9813 Sunny Spring Dr,2019,2049,1010,1039,0,1010,0,8359.0
9825 Cape Silver Way,2020,2822,1444,1378,0,1446,758,12032.0
9831 Sunny Spring Dr,2019,1812,1812,0,0,1812,0,8549.0
9835 Sunny Spring Dr,2020,1983,1983,0,0,1983,0,8287.0
9901 Sweet Willow Pass,2019,1815,917,898,0,911,0,8388.0
9905 Sweet Willow Pass,2020,1728,1728,0,0,1728,690,5995.0
9909 Sweet Willow Pass,2020,1566,790,776,0,790,0,5100.0
9911 Peach Leaf Ln,2020,2484,1183,1301,0,1183,0,12000.0
9912 White Fox Ln,2020,2228,2228,0,0,2228,1311,11394.0
9913 Cape Silver Way,2020,2245,1151,1094,0,1151,0,9845.0
9913 Sweet Willow Pass,2020,1596,797,799,0,797,0,5100.0
9915 Peach Leaf Ln,2020,2045,2045,0,0,2045,0,12000.0
9915 White Fox Ln,2019,2260,1166,1094,0,1166,720,15385.0
9916 White Fox Ln,2019,1631,1631,0,0,1631,796,10556.0
9917 Cape Silver Way,2020,2051,2051,0,0,2051,0,8760.0
9917 Sweet Willow Pass,2020,1574,790,784,0,790,0,5100.0
9919 White Fox Ln,2019,2525,1698,827,0,1698,889,10140.0
9920 White Fox Ln,2019,2060,2060,0,0,2060,936,8931.0
9921 Cape Silver Way,2020,2245,1151,1094,0,1151,0,8909.0
9923 White Fox Ln,2019,1962,1058,904,0,1058,0,10855.0
9924 White Fox Ln,2019,2554,1231,1323,0,1219,0,8931.0
9925 Cape Silver Way,2020,2477,1176,1301,0,1176,0,7284.0
9928 White Fox Ln,2020,1694,1694,0,0,1694,0,8931.0
9929 Cape Silver Way,2019,1952,1053,899,0,1053,0,7284.0
9930 Cape Silver Way,2020,2149,2149,0,0,2149,0,9415.0
9932 White Fox Ln,2020,2051,2051,0,0,2051,1084,9754.0
9933 Cape Silver Way,2020,2002,1103,899,0,1103,0,7284.0
9936 White Fox Ln,2019,2491,1196,1295,0,1196,941,8463.0
9937 Cape Silver Way,2020,1735,866,869,0,866,537,7774.0
9940 White Fox Ln,2019,1813,1813,0,0,1813,0,7556.0
9944 White Fox Ln,2020,2477,1176,1301,0,1176,0,8022.0
