Address,YearBuilt,TotalLivingArea,FirstFloor,SecondFloor,ThirdFloor,Basement,FinishedBasement,LotSize
107 Galileo Dr,2020,2211,1132,1079,0,1124,0,8430.0
107 North Star Dr,2020,1486,753,733,0,753,0,4793.0
108 North Star Dr,2019,1474,756,718,0,742,0,4135.0
1104 Red Rock Ln,2019,3904,2173,1731,0,2173,1392,14563.0
1108 Red Rock Ln,2020,3145,1609,1536,0,1609,1173,13639.0
1118 Southridge Ct,2020,2695,2695,0,0,2084,2084,46752.0
1213 Droster Rd,2019,1352,1352,0,0,1352,0,17000.0
1218 Blue Stone Ter,2020,2652,1312,1340,0,1312,0,8421.0
1222 Blue Stone Ter,2020,2405,1301,1104,0,1301,0,10172.0
1224 Brunette Downs Dr,2020,2437,1317,1120,0,1317,0,5799.0
1228 Brunette Downs Dr,2020,1971,1971,0,0,1971,0,5800.0
1232 Brunette Downs Dr,2020,2316,1334,982,0,1334,772,6151.0
127 Galileo Dr,2020,1851,1851,0,0,1851,834,8120.0
1302 Brunette Downs Dr,2019,2488,1144,1344,0,1144,0,6605.0
131 Galileo Dr,2020,2006,2006,0,0,2006,0,8119.0
1310 Brunette Downs Dr,2020,1504,748,756,0,748,0,8051.0
1313 Black Stallion Dr,2020,2117,2117,0,0,2117,0,9000.0
1316 Black Stallion Dr,2019,2154,2154,0,0,2154,1482,8760.0
1317 Black Stallion Dr,2020,2329,1293,1036,0,1293,0,9000.0
1318 Brunette Downs Dr,2020,2245,1125,1120,0,1125,0,7200.0
1322 Brunette Downs Dr,2019,2513,1324,1189,0,1324,0,7200.0
1322 Chandler St,2019,2749,1594,1155,0,1594,0,7950.0
1324 Black Stallion Dr,2020,1982,1982,0,0,1982,1398,8760.0
1326 Crowley Ave,2019,1818,909,909,0,1818,0,4800.0
1330 Crowley Ave,2020,1818,909,909,0,909,0,4800.0
1334 Crowley Ave,2020,1818,909,909,0,909,0,4750.0
140 North Star Dr,2019,1638,838,800,0,822,0,3917.0
1402 Black Stallion Dr,2019,2159,980,1179,0,980,0,8760.0
1406 Black Stallion Dr,2019,2138,2138,0,0,2138,1925,9731.0
1410 Black Stallion Dr,2019,1925,1925,0,0,1925,1143,8965.0
144 North Star Dr,2019,1520,782,738,0,772,0,3504.0
148 North Star Dr,2019,1532,788,744,0,788,0,3504.0
152 North Star Dr,2020,1532,788,744,0,788,0,3504.0
1521 Burning Wood Way,2019,2410,2410,0,0,2392,2320,21579.0
156 North Star Dr,2019,1526,782,744,0,772,0,3983.0
1612 Twilight Trl,2020,1966,1966,0,0,1966,747,8762.0
1630 Adams St,2019,2154,1334,820,0,1405,773,4800.0
1722 Legacy Ln,2019,1493,1493,0,0,1482,988,5258.0
1724 Legacy Ln,2019,1733,1733,0,0,1725,999,6616.0
18 Prairie Hill Ct,2020,3819,1668,2151,0,1668,0,24564.0
1802 Legacy Ln,2019,1450,1450,0,0,1464,1020,5261.0
1803 Waterfall Way,2019,1672,978,694,0,978,0,6352.0
1804 Legacy Ln,2019,1482,1482,0,0,1472,980,5749.0
1804 Waterfall Way,2019,1503,763,740,0,763,0,6480.0
1807 Pipers Brook Dr,2019,2056,1073,983,0,1068,0,7285.0
1807 Waterfall Way,2019,1881,978,903,0,978,0,5900.0
1808 Waterfall Way,2020,1584,1584,0,0,1584,0,6018.0
1810 Pipers Brook Dr,2019,1848,964,884,0,964,0,7038.0
1811 Autumn Lake Pkwy,2019,1656,1656,0,0,1656,0,5250.0
1811 Pipers Brook Dr,2019,1848,964,884,0,964,0,7257.0
1811 Waterfall Way,2020,2056,1068,988,0,1068,0,12862.0
1812 Autumn Lake Pkwy,2019,1785,932,853,0,932,0,5250.0
1812 Waterfall Way,2020,1572,1572,0,0,1572,0,6018.0
1812 Willow Rock Rd,2019,1814,916,898,0,910,0,4506.0
1813 Willow Rock Rd,2020,1848,964,884,0,964,0,6431.0
1814 Pipers Brook Dr,2019,1552,1552,0,0,1552,0,7038.0
1815 Autumn Lake Pkwy,2019,1800,902,898,0,902,0,5670.0
1815 Waterfall Way,2020,1660,838,822,0,838,0,16373.0
1816 Autumn Lake Pkwy,2019,1532,782,750,0,772,0,4725.0
1816 Waterfall Way,2020,2092,1086,1006,0,1086,0,6348.0
1816 Willow Rock Rd,2020,2056,1068,988,0,1068,0,5900.0
1817 Willow Rock Rd,2019,1638,828,810,0,828,0,6431.0
1818 Pipers Brook Dr,2019,1482,1482,0,0,1482,0,7245.0
1819 Autumn Lake Pkwy,2019,1504,1504,0,0,1504,0,4725.0
1820 Autumn Lake Pkwy,2019,1708,1708,0,0,1708,0,4725.0
1820 Willow Rock Rd,2019,1511,773,738,0,763,0,6000.0
1821 Willow Rock Rd,2020,1876,978,898,0,978,0,7194.0
1822 Pipers Brook Dr,2019,1482,1482,0,0,1482,0,6107.0
1823 Autumn Lake Pkwy,2019,1785,932,853,0,932,0,3885.0
1823 Waterfall Way,2020,1519,777,742,0,777,0,21761.0
1824 Autumn Lake Pkwy,2019,1552,798,754,0,788,0,4725.0
1824 Waterfall Way,2020,1416,1416,0,0,1416,0,7045.0
1824 Willow Rock Rd,2019,1580,1580,0,0,1572,0,6000.0
1825 Willow Rock Rd,2020,1864,1864,0,0,1864,0,10129.0
1826 Pipers Brook Dr,2019,1482,1482,0,0,1482,0,6107.0
1827 Autumn Lake Pkwy,2019,1776,908,868,0,902,0,4725.0
1827 Twin Fawn Trl,2020,2087,1085,1002,0,1085,0,6000.0
1827 Waterfall Way,2020,1482,1482,0,0,1482,0,19833.0
1828 Autumn Lake Pkwy,2019,1818,920,898,0,920,0,4725.0
1828 Willow Rock Rd,2019,1764,1764,0,0,1764,0,6500.0
1831 Autumn Lake Pkwy,2019,1542,788,754,0,788,0,4725.0
1832 Autumn Lake Pkwy,2019,1784,932,852,0,932,0,4725.0
1832 Waterfall Way,2020,1482,1482,0,0,1482,0,6863.0
1835 Autumn Lake Pkwy,2019,1813,908,905,0,902,0,4725.0
1835 Waterfall Way,2020,2086,1085,1001,0,1085,0,16660.0
1836 Autumn Lake Pkwy,2019,1552,798,754,0,788,0,4725.0
1839 Autumn Lake Pkwy,2019,1510,772,738,0,772,172,4725.0
1840 Autumn Lake Pkwy,2019,1710,872,838,0,872,0,4725.0
1843 Autumn Lake Pkwy,2019,1628,828,800,0,822,0,4725.0
1844 Autumn Lake Pkwy,2019,1660,1660,0,0,1660,0,4725.0
1847 Autumn Lake Pkwy,2019,1656,1656,0,0,1656,0,5832.0
1903 Goshawk Ln,2019,1793,1793,0,0,1793,841,9428.0
1903 Waterfall Way,2020,1848,964,884,0,964,0,14479.0
1904 Tennyson Ln,2019,1036,1036,0,0,1036,0,8715.0
1904 Waterfall Way,2020,2076,1088,988,0,1088,0,6352.0
