NAME,DATE,POS_7DAYAVG,DTH_NEW,DTH_NEW_2WK
Dunn,2020-06-15,0.0,0.0,0.0
Eau Claire,2020-06-15,1.86,0.0,0.0
Florence,2020-06-15,0.0,0.0,0.0
Fond du Lac,2020-06-15,4.29,0.0,0.0
Forest,2020-06-15,0.14,0.0,0.0
Grant,2020-06-15,1.29,0.0,0.0
Green,2020-06-15,0.57,0.0,0.0
Green Lake,2020-06-15,0.14,0.0,0.0
Iowa,2020-06-15,0.0,0.0,0.0
Iron,2020-06-15,0.0,0.0,0.0
Jackson,2020-06-15,0.14,0.0,0.0
Jefferson,2020-06-15,4.29,0.0,0.0
Juneau,2020-06-15,0.29,0.0,0.0
Kenosha,2020-06-15,10.14,0.0,0.0
Kewaunee,2020-06-15,0.14,0.0,0.0
La Crosse,2020-06-15,7.57,0.0,0.0
Lafayette,2020-06-15,1.43,0.0,0.0
Langlade,2020-06-15,-0.29,0.0,0.0
Lincoln,2020-06-15,0.14,0.0,0.0
Manitowoc,2020-06-15,1.0,0.0,0.0
Adams,2020-06-15,0.43,1.0,0.0
Ashland,2020-06-15,0.0,0.0,0.0
Marathon,2020-06-15,2.57,0.0,0.0
Barron,2020-06-15,0.71,0.0,0.0
Bayfield,2020-06-15,0.0,0.0,0.0
Sauk,2020-06-16,0.43,0.0,0.0
Sawyer,2020-06-16,0.0,0.0,0.0
Shawano,2020-06-16,0.57,0.0,0.0
Sheboygan,2020-06-16,6.86,0.0,0.0
Taylor,2020-06-16,0.43,0.0,0.0
Trempealeau,2020-06-16,4.0,0.0,0.0
Vernon,2020-06-16,0.29,0.0,0.0
Vilas,2020-06-16,0.0,0.0,0.0
Walworth,2020-06-16,4.0,0.0,0.0
Washburn,2020-06-16,0.0,0.0,0.0
Washington,2020-06-16,2.14,0.0,0.0
Waukesha,2020-06-16,14.14,0.0,0.0
Waupaca,2020-06-16,3.14,1.0,1.0
Waushara,2020-06-16,1.0,0.0,0.0
Winnebago,2020-06-16,15.14,0.0,0.0
Wood,2020-06-16,1.57,0.0,0.0
Adams,2020-06-16,0.29,0.0,0.0
Ashland,2020-06-16,0.0,0.0,0.0
Barron,2020-06-16,0.86,0.0,1.0
Bayfield,2020-06-16,0.0,0.0,0.0
